Assembly,Ward,Booth Number,Male,Female,Transgender,TotalVoters,SanataniVoters,AbrahamicVoters,Sanatani_pc,Abrahamic_pc,VoterTurnout,Turnout_pc,BJP,TMC,INC_CPIM_ISF,BJP_Position,BJP_pc,TMC_pc,INC_CPIM_ISF_pc,Winner_pc,Sanatani_D
Kolkata Port,78,176,522,354,0,876,371,504,42.4,57.6,533,60.91,115,396,12,2,21.58,74.3,2.25,74.3,0
Kolkata Port,78,177,601,449,0,1050,366,686,34.79,65.21,644,61.22,123,482,15,2,19.1,74.84,2.33,74.84,0
Kolkata Port,78,178,391,285,0,676,2,675,0.3,99.7,449,66.32,7,428,5,2,1.56,95.32,1.11,95.32,5
Kolkata Port,78,179,271,269,0,540,55,482,10.24,89.76,362,67.41,22,322,9,2,6.08,88.95,2.49,88.95,0
Kolkata Port,78,180,660,408,0,1068,642,422,60.34,39.66,619,58.18,256,342,11,2,41.36,55.25,1.78,55.25,0
Kolkata Port,78,181,711,502,0,1213,192,1022,15.82,84.18,727,59.88,105,600,6,2,14.44,82.53,0.83,82.53,0
Kolkata Port,78,182,679,530,0,1209,71,1141,5.86,94.14,802,66.17,41,736,11,2,5.11,91.77,1.37,91.77,0
Kolkata Port,78,183,723,469,0,1192,629,563,52.77,47.23,736,61.74,190,516,8,2,25.82,70.11,1.09,70.11,0
Kolkata Port,78,184,484,402,0,886,1,886,0.11,99.89,629,70.91,12,580,14,3,1.91,92.21,2.23,92.21,11
Kolkata Port,78,185,526,446,0,972,17,255,6.25,93.75,665,68.42,14,602,29,3,2.11,90.53,4.36,90.53,0
Kolkata Port,78,186,574,488,0,1062,285,776,26.86,73.14,652,61.45,105,510,21,2,16.1,78.22,3.22,78.22,0
Kolkata Port,78,187,595,534,0,1129,40,1088,3.55,96.45,769,68.17,18,720,9,2,2.34,93.63,1.17,93.63,0
Kolkata Port,78,188,369,367,0,736,119,617,16.17,83.83,460,62.5,23,416,15,2,5,90.43,3.26,90.43,0
Kolkata Port,78,189,551,520,0,1071,378,692,35.33,64.67,704,65.79,131,540,15,2,18.61,76.7,2.13,76.7,0
Kolkata Port,78,190,401,364,0,765,31,731,4.07,95.93,545,71.52,6,518,10,3,1.1,95.05,1.83,95.05,0
Kolkata Port,78,191,310,333,0,643,287,356,44.63,55.37,439,68.27,18,405,8,2,4.1,92.26,1.82,92.26,0
Kolkata Port,78,192,670,543,0,1213,1075,141,88.4,11.6,808,66.45,407,351,14,1,50.37,43.44,1.73,50.37,0
Kolkata Port,78,193,507,474,0,981,19,949,1.96,98.04,773,79.86,22,727,9,2,2.85,94.05,1.16,94.05,3
Kolkata Port,78,194,409,391,0,800,312,488,39,61,499,62.38,85,383,21,2,17.03,76.75,4.21,76.75,0
Kolkata Port,78,195,591,537,0,1128,105,1021,9.33,90.67,671,59.59,34,612,11,2,5.07,91.21,1.64,91.21,0
Kolkata Port,78,196,494,455,0,949,41,904,4.34,95.66,745,78.84,9,707,11,3,1.21,94.9,1.48,94.9,0
Kolkata Port,78,197,645,582,0,1227,123,1103,10.03,89.97,800,65.25,51,692,18,2,6.38,86.5,2.25,86.5,0
Kolkata Port,78,198,529,456,0,985,31,949,3.16,96.84,682,69.59,18,628,15,2,2.64,92.08,2.2,92.08,0
Kolkata Port,78,199,619,515,0,1134,172,968,15.09,84.91,793,69.56,95,660,18,2,11.98,83.23,2.27,83.23,0
Kolkata Port,78,200,600,423,0,1023,355,672,34.57,65.43,698,67.96,180,492,4,2,25.79,70.49,0.57,70.49,0
Kolkata Port,78,201,408,408,0,816,240,576,29.41,70.59,576,70.59,121,430,9,2,21.01,74.65,1.56,74.65,0
Kolkata Port,78,202,549,482,0,1031,312,720,30.23,69.77,780,75.58,137,614,9,2,17.56,78.72,1.15,78.72,0
Kolkata Port,78,203,450,359,0,809,528,283,65.1,34.9,596,73.49,302,270,8,1,50.67,45.3,1.34,50.67,0
Kolkata Port,78,204,552,459,0,1011,66,944,6.53,93.47,624,61.78,9,586,16,3,1.44,93.91,2.56,93.91,0
Kolkata Port,78,205,436,315,0,751,72,678,9.6,90.4,488,65.07,10,449,18,3,2.05,92.01,3.69,92.01,0
Kolkata Port,78,206,675,539,0,1214,1214,0,100,0,836,68.86,520,253,19,1,62.2,30.26,2.27,62.2,0
Kolkata Port,78,207,717,540,0,1257,1257,0,100,0,905,72,578,259,14,1,63.87,28.62,1.55,63.87,0
Kolkata Port,78,208,450,367,0,817,173,645,21.15,78.85,550,67.24,74,434,27,2,13.45,78.91,4.91,78.91,0
Kolkata Port,78,209,501,392,0,893,539,356,60.22,39.78,612,68.38,223,360,9,2,36.44,58.82,1.47,58.82,0
Kolkata Port,79,210,310,227,0,537,275,262,51.21,48.79,340,63.31,127,200,5,2,37.35,58.82,1.47,58.82,0
Kolkata Port,78,211,354,354,0,708,449,252,64.05,35.95,390,55.63,93,269,17,2,23.85,68.97,4.36,68.97,0
Kolkata Port,78,212,587,513,0,1100,617,482,56.14,43.86,709,64.51,178,487,19,2,25.11,68.69,2.68,68.69,0
Kolkata Port,78,213,426,393,0,819,700,125,84.85,15.15,475,57.58,186,257,22,2,39.16,54.11,4.63,54.11,0
Kolkata Port,78,214,512,407,0,919,529,391,57.5,42.5,533,57.93,140,390,14,2,26.27,73.17,2.63,73.17,0
Kolkata Port,78,215,406,334,0,740,137,601,18.56,81.44,530,71.82,77,429,11,2,14.53,80.94,2.08,80.94,0
Kolkata Port,76,216,434,405,0,839,406,434,48.33,51.67,560,66.67,137,388,27,2,24.46,69.29,4.82,69.29,0
Kolkata Port,76,217,385,390,0,775,768,7,99.1,0.9,479,61.81,173,260,35,2,36.12,54.28,7.31,54.28,0
