Assembly,Ward,Booth Number,Male,Female,Transgender,TotalVoters,SanataniVoters,AbrahamicVoters,Sanatani_pc,Abrahamic_pc,VoterTurnout,Turnout_pc,BJP,TMC,INC_CPIM_ISF,BJP_Position,BJP_pc,TMC_pc,INC_CPIM_ISF_pc,Winner_pc,Sanatani_D
Kolkata Port,76,218,489,418,0,907,906,0,100,0,571,63.02,302,211,33,1,52.89,36.95,5.78,52.89,0
Kolkata Port,76,219,413,371,0,784,761,20,97.44,2.56,492,63,233,218,30,1,47.36,44.31,6.1,47.36,0
Kolkata Port,76,220,383,293,0,676,297,379,43.93,56.07,458,67.75,106,326,8,2,23.14,71.18,1.75,71.18,0
Kolkata Port,76,221,321,315,0,636,595,34,94.59,5.41,327,51.99,103,193,13,2,31.5,59.02,3.98,59.02,0
Kolkata Port,76,222,333,277,0,610,590,20,96.72,3.28,359,58.85,165,177,9,2,45.96,49.3,2.51,49.3,0
Kolkata Port,76,223,321,300,0,621,507,107,82.57,17.43,395,64.33,200,166,14,1,50.63,42.03,3.54,50.63,0
Kolkata Port,76,224,332,266,0,598,267,327,44.95,55.05,345,58.08,82,247,7,2,23.77,71.59,2.03,71.59,0
Kolkata Port,76,225,491,417,0,908,183,726,20.13,79.87,618,67.99,59,530,19,2,9.55,85.76,3.07,85.76,0
Kolkata Port,76,226,408,346,0,754,78,677,10.33,89.67,508,67.28,24,463,13,2,4.72,91.14,2.56,91.14,0
Kolkata Port,76,227,437,407,0,844,64,779,7.59,92.41,606,71.89,31,527,33,3,5.12,86.96,5.45,86.96,0
Kolkata Port,76,228,499,387,0,886,123,761,13.91,86.09,595,67.31,46,503,29,2,7.73,84.54,4.87,84.54,0
Kolkata Port,76,229,462,399,0,861,830,32,96.29,3.71,513,59.51,240,228,35,1,46.78,44.44,6.82,46.78,0
Kolkata Port,76,230,432,425,0,857,835,23,97.32,2.68,440,51.28,191,199,36,2,43.41,45.23,8.18,45.23,0
Kolkata Port,76,231,428,403,0,831,803,28,96.63,3.37,547,65.82,285,213,33,1,52.1,38.94,6.03,52.1,0
Kolkata Port,76,232,390,346,0,736,734,0,100,0,471,64.17,215,221,26,2,45.65,46.92,5.52,46.92,0
Kolkata Port,76,233,260,279,0,539,539,0,100,0,345,64.01,141,180,12,2,40.87,52.17,3.48,52.17,0
Kolkata Port,76,234,430,381,0,811,811,0,100,0,539,66.46,215,290,19,2,39.89,53.8,3.53,53.8,0
Kolkata Port,76,235,663,409,0,1072,596,477,55.55,44.45,668,62.26,261,371,15,2,39.07,55.54,2.25,55.54,0
Kolkata Port,76,236,463,463,0,926,909,16,98.27,1.73,606,65.51,326,241,27,1,53.8,39.77,4.46,53.8,0
Kolkata Port,76,237,495,448,0,943,575,367,61.04,38.96,628,66.67,178,419,12,2,28.34,66.72,1.91,66.72,0
Kolkata Port,76,238,341,325,0,666,663,0,100,0,437,65.91,171,235,18,2,39.13,53.78,4.12,53.78,0
Kolkata Port,76,239,402,314,0,716,703,13,98.18,1.82,460,64.25,252,181,20,1,54.78,39.35,4.35,54.78,0
Kolkata Port,76,240,330,315,0,645,631,14,97.83,2.17,420,65.12,186,215,7,2,44.29,51.19,1.67,51.19,0
Kolkata Port,75,241,578,261,0,839,395,444,47.08,52.92,391,46.6,222,145,8,1,56.78,37.08,2.05,56.78,0
Kolkata Port,75,242,540,400,0,940,665,275,70.74,29.26,456,48.51,199,205,24,2,43.64,44.96,5.26,44.96,0
Kolkata Port,75,243,551,461,1,1013,321,693,31.66,68.34,609,60.06,80,475,30,2,13.14,78,4.93,78,0
Kolkata Port,75,244,506,364,0,870,714,156,82.07,17.93,510,58.62,312,174,19,1,61.18,34.12,3.73,61.18,0
Kolkata Port,75,245,387,233,0,620,606,12,98.06,1.94,48,7.77,32,14,0,1,66.67,29.17,0,66.67,0
Kolkata Port,75,246,565,474,0,1039,822,218,79.04,20.96,608,58.46,338,244,17,1,55.59,40.13,2.8,55.59,0
Kolkata Port,75,247,542,379,0,921,804,117,87.3,12.7,481,52.23,294,161,3,1,61.12,33.47,0.62,61.12,0
Kolkata Port,75,248,381,263,0,644,512,131,79.63,20.37,313,48.68,144,158,6,2,46.01,50.48,1.92,50.48,0
Kolkata Port,75,249,628,393,0,1021,878,143,85.99,14.01,563,55.14,353,194,7,1,62.7,34.46,1.24,62.7,0
Kolkata Port,75,250,662,461,0,1123,919,204,81.83,18.17,705,62.78,73,591,24,2,10.35,83.83,3.4,83.83,0
Kolkata Port,75,251,821,432,0,1253,36,1216,2.88,97.12,680,54.31,13,616,32,3,1.91,90.59,4.71,90.59,0
Kolkata Port,75,252,546,450,0,996,4,992,0.4,99.6,680,68.27,11,627,30,3,1.62,92.21,4.41,92.21,7
Kolkata Port,75,253,367,313,0,680,598,82,87.94,12.06,348,51.18,167,127,37,1,47.99,36.49,10.63,47.99,0
Kolkata Port,75,254,317,181,0,498,355,142,71.43,28.57,274,55.13,129,131,6,2,47.08,47.81,2.19,47.81,0
Kolkata Port,75,255,603,413,0,1016,702,314,69.09,30.91,564,55.51,290,242,14,1,51.42,42.91,2.48,51.42,0
Kolkata Port,75,256,541,308,0,849,190,663,22.27,77.73,398,46.66,34,330,28,2,8.54,82.91,7.04,82.91,0
Kolkata Port,75,257,571,408,0,979,13,966,1.33,98.67,615,62.82,20,549,33,3,3.25,89.27,5.37,89.27,7
Kolkata Port,75,258,378,346,0,724,0,725,0,100,495,68.28,7,435,44,3,1.41,87.88,8.89,87.88,7
Kolkata Port,75,259,585,350,0,935,827,97,89.5,10.5,457,49.46,248,197,4,1,54.27,43.11,0.88,54.27,0
Kolkata Port,75,260,651,309,0,960,773,187,80.52,19.48,476,49.58,270,173,10,1,56.72,36.34,2.1,56.72,0
Kolkata Port,75,261,816,313,0,1129,1037,94,91.69,8.31,557,49.25,353,163,20,1,63.38,29.26,3.59,63.38,0
Kolkata Port,75,262,541,318,0,859,685,170,80.12,19.88,448,52.4,299,123,24,1,66.74,27.46,5.36,66.74,0
Kolkata Port,75,263,298,230,0,528,411,117,77.84,22.16,292,55.3,204,78,6,1,69.86,26.71,2.05,69.86,0
Kolkata Port,75,264,613,366,0,979,555,424,56.69,43.31,551,56.28,227,304,9,2,41.2,55.17,1.63,55.17,0
Kolkata Port,75,265,590,428,0,1018,952,64,93.7,6.3,316,31.1,159,143,9,1,50.32,45.25,2.85,50.32,0
Kolkata Port,75,266,257,250,0,507,304,202,60.08,39.92,265,52.37,74,168,4,2,27.92,63.4,1.51,63.4,0
